Number,Name,Country,Region,Type,Activity Evidence,Last Known Eruption,Latitude,Longitude,Elevation (Meters),Dominant Rock Type,Tectonic Setting
268030,Ibu,Indonesia,Indonesia,Stratovolcano,Eruption Observed,2016 CE,1.488,127.63,1325,Andesite / Basaltic Andesite,Subduction Zone / Oceanic Crust (< 15 km)
268040,Gamkonora,Indonesia,Indonesia,Stratovolcano,Eruption Observed,2007 CE,1.38,127.53,1635,Andesite / Basaltic Andesite,Subduction Zone / Oceanic Crust (< 15 km)
268050,Todoko-Ranu,Indonesia,Indonesia,Caldera(s),Evidence Credible,Unknown,1.25,127.47,979,Andesite / Basaltic Andesite,Subduction Zone / Oceanic Crust (< 15 km)
268051,Jailolo,Indonesia,Indonesia,Stratovolcano,Evidence Credible,Unknown,1.08,127.439,993,Andesite / Basaltic Andesite,Subduction Zone / Oceanic Crust (< 15 km)
268052,Hiri,Indonesia,Indonesia,Stratovolcano,Evidence Credible,Unknown,0.9,127.32,630,Basalt / Picro-Basalt,Subduction Zone / Oceanic Crust (< 15 km)
268060,Gamalama,Indonesia,Indonesia,Stratovolcano(es),Eruption Observed,2016 CE,0.8,127.33,1715,Andesite / Basaltic Andesite,Subduction Zone / Oceanic Crust (< 15 km)
268061,Tidore,Indonesia,Indonesia,Stratovolcano,Evidence Credible,Unknown,0.658,127.4,1730,Andesite / Basaltic Andesite,Subduction Zone / Oceanic Crust (< 15 km)
268062,Mare,Indonesia,Indonesia,Stratovolcano,Evidence Credible,Unknown,0.57,127.4,308,Andesite / Basaltic Andesite,Subduction Zone / Oceanic Crust (< 15 km)
268063,Moti,Indonesia,Indonesia,Stratovolcano,Evidence Credible,Unknown,0.45,127.4,950,Andesite / Basaltic Andesite,Subduction Zone / Oceanic Crust (< 15 km)
268070,Makian,Indonesia,Indonesia,Stratovolcano,Eruption Observed,1988 CE,0.32,127.4,1357,Andesite / Basaltic Andesite,Subduction Zone / Oceanic Crust (< 15 km)
268071,Tigalalu,Indonesia,Indonesia,Stratovolcano,Evidence Credible,Unknown,0.07,127.42,422,Andesite / Basaltic Andesite,Subduction Zone / Oceanic Crust (< 15 km)
268072,Amasing,Indonesia,Indonesia,Stratovolcano(es),Evidence Credible,Unknown,-0.53,127.48,1030,Andesite / Basaltic Andesite,Subduction Zone / Oceanic Crust (< 15 km)
268073,Bibinoi,Indonesia,Indonesia,Stratovolcano(es),Evidence Credible,Unknown,-0.77,127.72,900,Andesite / Basaltic Andesite,Subduction Zone / Oceanic Crust (< 15 km)
